"Individual","full_path","haplogroup"
"NA21119","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21120","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21122","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21123","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21124","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21125","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21126","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"NA21127","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21128","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21129","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21130","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21133","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21135","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21137","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21141","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21142","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3","L3"
"NA21143","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21144","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
