"Individual","full_path","haplogroup"
"NA20905","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20906","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20908","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20910","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K","K"
"NA20911","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21086","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21087","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21088","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21089","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21090","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21091","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21092","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21093","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21094","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21095","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21097","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21098","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA21099","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21100","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21101","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21102","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21103","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21104","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21105","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21106","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
